sorteren op datum. Eerste datum eerst,,,Categories:,Traffic,Humans,Nature,Noise,Music,Other,
http://mosart.soundappraisal.eu/dataset/570d495919df475e061057f8,,,,,,,,,,
Fragment #,Filename,Labelaar,Start time,End time,Stressful?,Relaxing?,Sudden?,Category,Interpretation,
Example,F.(...).wav,Xeryus,00:00:01.250,00:00:11.000,Yes,,No,Traffic,,
,,,,,,,,,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:00.000,00:00:00.809,No,No,No,Other,Silence,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:00.809,00:00:01.332,Yes,No,Yes,Other,Random,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:01.332,00:00:06.800,No,No,No,Other,Water,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:06.800,00:00:07.308,Yes,No,Yes,Other,Clap,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:07.308,00:00:07.852,Yes,No,Yes,Other,Clap,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:07.852,00:00:15.682,No,No,No,Other,Random,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:15.682,00:00:19.000,No,No,No,Human,Speech,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:19.000,00:00:24.000,No,No,No,Other,Keys ringing,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:24.000,00:00:27.000,No,No,No,Human,Speech,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:27.000,00:00:28.600,No,No,No,Other,Silence,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:28.600,00:00:30.000,No,No,No,Human,Speach,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:00.000,00:00:02.214,No,No,No,Other,Silence,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:02.214,00:00:02.429,Yes,No,Yes,Other,Noise,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:02.429,00:00:30.000,No,No,No,Other,Silence,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:00.000,00:00:02.250,No,No,No,Other,Silence,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:02.250,00:00:03.100,No,No,No,Other,mic movement,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:03.100,00:00:30.000,No,No,No,Other,Silence,
18,P.van.der.Meulen.4_2016-04-15T12:08:45.000Z,Luuk,00:00:00.000,00:00:30.000,Yes,No,No,Traffic,,Pim knows what this is
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:00.000,00:00:16.606,No,Yes,No,Nature,Birds,
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:16.606,00:00:17.462,No,No,No,Other/Traffic,Bike?,
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:17.462,00:00:30.000,No,Yes,No,Nature,Birds,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:00.000,00:00:00.000,Yes,No,No,Other,Noise,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:10.106,00:00:10.346,Yes,No,Yes,Other,beep,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:11.200,00:00:11.400,Yes,No,Yes,Other,beep,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:12.521,00:00:13.038,Yes,No,Yes,Other,Paper?,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:13.234,00:00:13.440,Yes,No,Yes,Other,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:13.786,00:00:14.223,Yes,No,Yes,Other,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:17.000,00:00:17.105,Yes,No,Yes,Other,beep,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:17.000,00:00:17.105,No,No,No,Human,speech,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:18.117,00:00:20.000,Yes,No,Yes,Other,stick breaking,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:20.800,00:00:21.000,Yes,No,Yes,Other,beep,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:21.900,00:00:22.100,Yes,No,Yes,Other,beep,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:00.125,00:00:01.000,Yes,No,Yes,Other,movement,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:01.300,00:00:01.650,Yes,No,Yes,Other,movement,
,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:03.800,00:00:06.000,No,No,Yes,Human,speech,
